開催日,競技会名,区分名,SL区分,ラウンド記号,種目記号,SG区分,背番号,リーダー名,パートナー名,ジャッジ番号,ジャッジ名,PCS名,ジャッジ点数,乖離度,乖離度絶対値,ジャッジ人数,選手PCS得点
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,1,中西　剛,TQ,7.25,0.997506234413965,1.00249376558603,10,7.2
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,1,中西　剛,PS,7.25,0.997506234413965,1.00249376558603,10,7.2
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,2,笹山　良子,TQ,7,0.961538461538461,0.961538461538461,10,7.2
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,2,笹山　良子,PS,7,0.961538461538461,0.961538461538461,10,7.2
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,3,小林　秀一,MM,7,0.97799511002445,0.97799511002445,10,7.15
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,3,小林　秀一,CP,7,0.97799511002445,0.97799511002445,10,7.15
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,4,鈴木　浜江,TQ,7.5,0.917431192660551,1.08256880733945,10,7.2
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,4,鈴木　浜江,PS,7.5,0.917431192660551,1.08256880733945,10,7.2
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,5,望月　幸子,MM,7.25,0.99009900990099,1.00990099009901,10,7.15
2018/11/25,第３８回三笠宮杯全日本ダンススポーツ選手権,全日本スタンダード,S,SF,W,G,12,小嶋　みなと,盛田　めぐみ,5,望月　幸子,CP,7.25,0.99009900990099,1.00990099009901,10,7.15
