開催日,競技会名,区分名,SL区分,ラウンド記号,種目記号,SG区分,背番号,リーダー名,パートナー名,ジャッジ番号,ジャッジ名,PCS名,ジャッジ点数,乖離度,乖離度絶対値,ジャッジ人数,選手PCS得点
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,TQ,5,0.8,0.8,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,PS,6,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,CP,5.5,1,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,CP,6.5,0.5,1.32885906040268,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,TQ,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,MM,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,PS,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,CP,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,TQ,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,MM,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,PS,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,CP,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,3,Michael Eichert,TQ,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,3,Michael Eichert,MM,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,3,Michael Eichert,PS,0,0,1,10,2019/5/27
